item_key,item_name,description,size,weight,price
1,Yoga Mat Premium ZenFit #979,Reliable and fast data storage solution.,S,11.38,278.66
2,Air Fryer HealthyCook #274,Fast drying with multiple heat settings.,S,11.13,1231.71
3,Dehumidifier DryZone #269,Eco-friendly and non-slip surface.,XL,4.79,1136.9
4,Wireless Mouse PeripheralsCo #699,Official size and weight for match play.,L,11.64,1407.92
5,Water Bottle Insulated HydrateWell #771,Complete set for beginners and intermediate players.,N/A,11.1,658.71
6,Office Chair Ergo ComfortSeat #123,Automated cleaning for your home.,N/A,13.21,206.68
7,Digital Camera PhotoSnap #492,Advanced cleaning technology for a healthier smile.,S,5.5,78.16
8,Sneakers Urban StreetStyle #196,Adjustable height for all ages.,XL,3.36,484.98
9,Electric Kettle QuickBoil #928,High-capacity for charging multiple devices.,S,12.63,1374.86
10,Dumbbell Set StrongLife #738,Portable and powerful audio output.,S,11.09,1133.45
11,Backpack Voyager TravelGear #524,Built for extreme gaming performance.,S,4.85,165.3
12,Water Bottle Insulated HydrateWell #287,Reduces humidity in damp spaces.,XL,7.38,161.59
13,Running Shoes FastTrack #673,Comfortable and supportive for all distances.,XL,2.55,1064.98
14,Bookshelf Modern HomeStyle #340,Adjustable height for all ages.,M,7.43,961.69
15,4K Monitor DisplayInc #796,Automated cleaning for your home.,XL,5.55,482.54
16,4K Monitor DisplayInc #785,Fast drying with multiple heat settings.,L,1.82,84.26
17,Blender Max KitchenPro #895,Convenient portable data storage.,M,2.35,23.77
18,Winter Jacket WarmWear #315,Supports good posture during long work hours.,M,2.63,23.67
19,Gaming PC GameRig #169,Easy to fly with long range and HD camera.,S,6.8,1783.41
20,Bookshelf Modern HomeStyle #744,Stylish storage for your books and decor.,N/A,3.72,322.1
